ID,Identyfikator API,Nazwa,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Budynku,Numer Lokalu,Email,Telefon,Liczba dzieci,Liczba miejsc,Adres WWW
1,1481/Z,Żłobek Niezapominajka ,POMORSKIE,Gdynia,Gdynia,Gdynia,ul. Wójta Radtkego,23,,niezapominajka@zlobekgdynia.pl,586208839,111,110,www.zlobekgdynia.pl
2,1521/Z,Żłobek TupTup,POMORSKIE,Gdynia,Gdynia,Gdynia,ul. Wiczlińska,91,,info@tup-tup.com.pl,720870290,0,15,www.tup-tup.com.pl
3,1544/Z,"Żłobek ""Wesołe Żuczki""",POMORSKIE,Gdynia,Gdynia,Gdynia,ul. Klonowa,15,1,anna.wojcik@wesolezuczki.pl,519737505,15,15,www.wesolezuczki.pl
4,1641/Z,Niepubliczny Żłobek Stefanek,PODKARPACKIE,Przemyśl,Przemyśl,Przemyśl,ul. Swobodna,12,,marta.lenar@gmail.com,602401412,28,40,www.stefanekprzemysl.pl
5,1901/Z,Miejski Żłobek ,ZACHODNIOPOMORSKIE,policki,Police,Police,ul. Robotnicza,15,17,miejski.zlobek@police.pl,913175721,128,128,
6,2087/Z,"Żłobek nr 9 ""Przy strumyku""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Brytyjska,19,,zzm@zlobek9.szczecin.pl,913033416,151,151,zespolzlobkow.szczecin.pl
7,1447/Z,"Niepubliczne Przedszkole ze Żłobkiem ""Przedszkole przy Szkole"" ",ZACHODNIOPOMORSKIE,sławieński,Darłowo,Darłowo,ul. Szkolna,9,,p.walkow@gmail.com,600892760,50,50,"www.niepubliczne przedszkole ze żłobkiem ""Przedszkole przy Szkole"""
8,3623/Z,Żłobek Miejski Nr 3,PODKARPACKIE,mielecki,Mielec,Mielec,ul. Pisarka,9,,zlobek3@zlobki.mielec.pl,177874651,79,107,http://zlobki.mielec.pl/
9,1501/Z,Żłobek Parafialny ,PODKARPACKIE,rzeszowski,Trzebownisko,Zaczernie,,732A,,przedszkoleop@wp.pl,178552068,0,50,przedszkoleudominikanek.pl
10,1581/Z,"""Klub Malucha""",PODKARPACKIE,mielecki,Radomyśl Wielki,Radomyśl Wielki,ul. Armii Krajowej,62B,,bpasieczynska@gmail.com,660477996,25,30,
11,1801/Z,Żłobek w Lwówku,WIELKOPOLSKIE,nowotomyski,Lwówek,Lwówek,ul. Zbigniewa Świtalskiego,31,,zlobekwlwowku@wp.pl,614414996,37,96,
12,2044/Z,"Żłobek Miejski ""Bajka""",KUJAWSKO-POMORSKIE,inowrocławski,Inowrocław,Inowrocław,ul. Solankowa,52,,zlobekbajka@inowroclaw.pl,523576247,88,90,www.bajka-ino.pl
13,2054/Z,Żłobek Miejski nr 2,ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,Skarżysko-Kamienna,ul. Wojciecha Kossaka,5,,przedszkole6sko@gmail.com,412520640,24,24,
14,1603/Z,Żłobek nr 3,POMORSKIE,Słupsk,Słupsk,Słupsk,ul. Ignacego Łukasiewicza,4,,ksiegowosc@zzm.slupsk.pl,598426767,126,126,http://zlobkislupsk.mojbip.pl
15,1781/Z,"Żłobek Nr 1 ""Muszelka""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Żaglowa,16,,zzm@zlobek1.szczecin.pl,913070389,125,125,zespolzlobkow.szczecin.pl
16,2051/Z,Żłobek Miejski w Kole,WIELKOPOLSKIE,kolski,Koło,Koło,ul. Powstańców Wielkopolskich,6,,zlobek@kolo.pl,632720530,83,103,www.zlobek.kolo.pl
17,2055/Z,Żłobek Miejski nr 3,ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,Skarżysko-Kamienna,ul. Rynek,63,,jedyneczka63@gmail.com,412520663,30,30,
18,2056/Z,Klub Dzieciecy ,ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,Skarżysko-Kamienna,ul. Paryska,223,,dziewiatkauniludki@op.pl,412520651,10,8,
19,2059/Z,Żłobek Tęczowy Domek Nr 1,POMORSKIE,gdański,Pruszcz Gdański,Pruszcz Gdański,ul. Bronisława Malinowskiego,2,,biuro@teczowy-domek.com.pl,668358435,25,25,www.teczowy-domek.com.pl
20,2082/Z,"Żłobek nr 3 ""Uszatek""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Włościańska,3,,zzm@zlobek3.szczecin.pl,913070065,150,150,zespolzlobkow.szczecin.pl
21,1421/Z,"Żłobek ""Krasnal"" w Kołobrzegu",ZACHODNIOPOMORSKIE,kołobrzeski,Kołobrzeg,Kołobrzeg,ul. Bogusława X,18,,sekretariat@krasnalkolobrzeg.pl,943526511,175,219,www.krasnalkolobrzeg.pl
22,7677/Z,"Żłobek ""Stokrotka"" w Jarocinie",WIELKOPOLSKIE,jarociński,Jarocin,Jarocin,ul. Generała Józefa Hallera,8 a,,jarzebinka6@op.pl,627472668,30,50,
23,1582/Z,Żłobek nr 1,POMORSKIE,Słupsk,Słupsk,Słupsk,ul. Gen. Władysława Andersa,4,,ksiegowosc@zzm.slupsk.pl,598426749,105,105,http://zlobkislupsk.mojbip.pl
24,1601/Z,Żłobek nr 2 ,POMORSKIE,Słupsk,Słupsk,Słupsk,al. Aleja 3-go Maja,78,,ksiegowosc@zzm.slupsk.pl,598426722,116,116,http://zlobkislupsk.mojbip.pl
25,1681/Z,"Żłobek ""Tęcza""",WIELKOPOLSKIE,poznański,Tarnowo Podgórne,Przeźmierowo,ul. Ogrodowa,3,,biuro@teczadzieci.pl,506234510,21,30,www.teczadzieci.pl
26,8509/Z,"Prywatny Żłobek ""BAJKOWA KRAINA""",WIELKOPOLSKIE,Poznań,Poznań-Grunwald,Poznań-Grunwald,ul. Górczyńska,46,1,bajkowakraina46@gmail.com,533522062,20,28,bajkowakraina46.pl
27,11402/Z,"Niepubliczny Żłobek ""Mała Bajka II""",PODKARPACKIE,Tarnobrzeg,Tarnobrzeg,Tarnobrzeg,ul. Henryka Sienkiewicza,24,,przedszkole@bajka-tarnobrzeg.pl,733024646,40,48,www.bajka-tarnobrzeg.pl
28,8516/Z,Przygody w obłokach,DOLNOŚLĄSKIE,Wrocław,Wrocław-Psie Pole,Wrocław-Psie Pole,ul. Henryka Michała Kamieńskiego,229,U1,ivonadabrowska@gmail.com,695780077,24,24,
29,2046/Z,Niepubliczny Żłobek Krasnal Hałabała,WIELKOPOLSKIE,średzki,Środa Wielkopolska,Środa Wielkopolska,,10,,alicja.nawracala@sroda21.eu,605905037,9,93,www.sroda21.eu; www.zlobek.sroda21.eu
30,2048/Z,Żłobek Gminny w Trzcianie,PODKARPACKIE,rzeszowski,Świlcza,Trzciana,,193 B,,zlobek.trzciana@swilcza.com.pl,178514024,45,55,trzciana-zlobek.swilcza.com.pl
31,8510/Z,"Żłobek "" Kubuś Puchatek""",MAŁOPOLSKIE,nowotarski,Raba Wyżna,Raba Wyżna,,401H,,zlobek@kubus-puchatek.com.pl,795686886,0,36,http://www.kubus-puchatek.com.pl
32,2086/Z,"Żłobek nr 8 ""Wróbelki""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Mieczysława Niedziałkowskiego,49,,zzm@zlobek8.szczecin.pl,914221553,272,272,zespolzlobkow.szczecin.pl
33,2093/Z,"Żłobek Miejski nr 4 ""Wisienka""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Wiśniowa,8,,dyrekcja@zlobekwisienka.zgora.pl,683263017,258,288,www.zlobekwisienka.zgora.pl
34,2134/Z,"Klub Malucha ""Bajkowy Dworek"" ",LUBUSKIE,strzelecko-drezdenecki,Strzelce Krajeńskie,Strzelce Krajeńskie,ul. Przemysława II,1,,info@klubmalucha-strzelce.pl,957634113,18,20,www.klubmalucha-strzelce.pl
35,2162/Z,"Żłobek ""Szczęśliwych Maluchów""",LUBELSKIE,Lublin,Lublin,Lublin,ul. Tatarakowa,2,1A,kontakt@szczesliwymaluch.pl,506729261,27,30,szczesliwymaluch.pl
36,2170/Z,Tęczowa Krainka,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Jana III Sobieskiego,24a,17,karolina.stusinska@wp.pl,530993672,6,10,www.teczowakrainka.pl
